[-0.607163, -0.547163] ; [0.98715, 1.04715] ; [1.22758, 1.28758]
[-0.603924, -0.543924] ; [0.98697, 1.04697] ; [1.22809, 1.28809]
[-0.600711, -0.540711] ; [0.98681, 1.04681] ; [1.22865, 1.28865]
[-0.594219, -0.534219] ; [0.98655, 1.04655] ; [1.22971, 1.28971]
[-0.590973, -0.530973] ; [0.98639, 1.04639] ; [1.23029, 1.29029]
[-0.588167, -0.528167] ; [0.98668, 1.04668] ; [1.23121, 1.29121]
[-0.584514, -0.524514] ; [0.98618, 1.04618] ; [1.23144, 1.29144]
[-0.581581, -0.521581] ; [0.9864, 1.0464] ; [1.23227, 1.29227]
[-0.57828, -0.51828] ; [0.98624, 1.04624] ; [1.2328, 1.2928]
[-0.574624, -0.514624] ; [0.98572, 1.04572] ; [1.23301, 1.29301]
[-0.571258, -0.511258] ; [0.98551, 1.04551] ; [1.23354, 1.29354]
[-0.569173, -0.509173] ; [0.98622, 1.04622] ; [1.23523, 1.29523]
[-0.565207, -0.505207] ; [0.98579, 1.04579] ; [1.23514, 1.29514]
[-0.561588, -0.501588] ; [0.98544, 1.04544] ; [1.23558, 1.29558]
[-0.55816, -0.49816] ; [0.98527, 1.04527] ; [1.23606, 1.29606]
[-0.555418, -0.495418] ; [0.98554, 1.04554] ; [1.23709, 1.29709]
[-0.551526, -0.491526] ; [0.98508, 1.04508] ; [1.23717, 1.29717]
[-0.54807, -0.48807] ; [0.98494, 1.04494] ; [1.23771, 1.29771]
[-0.54461, -0.48461] ; [0.98482, 1.04482] ; [1.23825, 1.29825]
[-0.541996, -0.481996] ; [0.98514, 1.04514] ; [1.23938, 1.29938]
[-0.538545, -0.478545] ; [0.98502, 1.04502] ; [1.23989, 1.29989]
[-0.531603, -0.471603] ; [0.98479, 1.04479] ; [1.2409, 1.3009]
[-0.528179, -0.468179] ; [0.98469, 1.04469] ; [1.24147, 1.30147]
[-0.524721, -0.464721] ; [0.98463, 1.04463] ; [1.24205, 1.30205]
[-0.520763, -0.460763] ; [0.98396, 1.04396] ; [1.24228, 1.30228]
[-0.517881, -0.457881] ; [0.984, 1.044] ; [1.24338, 1.30338]
[-0.514106, -0.454106] ; [0.98405, 1.04405] ; [1.24362, 1.30362]
[-0.510892, -0.450892] ; [0.98378, 1.04378] ; [1.24447, 1.30447]
[-0.50743, -0.44743] ; [0.98371, 1.04371] ; [1.24507, 1.30507]
[-0.503968, -0.443968] ; [0.98366, 1.04366] ; [1.24567, 1.30567]
[-0.50049, -0.44049] ; [0.98364, 1.04364] ; [1.2463, 1.3063]
[-0.496995, -0.436995] ; [0.98359, 1.04359] ; [1.24686, 1.30686]
[-0.493452, -0.433452] ; [0.98344, 1.04344] ; [1.24741, 1.30741]
[-0.489945, -0.429945] ; [0.9834, 1.0434] ; [1.24797, 1.30797]
[-0.486472, -0.426472] ; [0.98332, 1.04332] ; [1.24851, 1.30851]
[-0.48294, -0.42294] ; [0.98321, 1.04321] ; [1.24909, 1.30909]
[-0.479544, -0.419544] ; [0.98326, 1.04326] ; [1.24991, 1.30991]
[-0.47601, -0.41601] ; [0.98301, 1.04301] ; [1.25029, 1.31029]
[-0.472456, -0.412456] ; [0.9828, 1.0428] ; [1.25075, 1.31075]
[-0.469228, -0.409228] ; [0.98296, 1.04296] ; [1.2515, 1.3115]
[-0.465759, -0.405759] ; [0.9829, 1.0429] ; [1.25224, 1.31224]
[-0.458602, -0.398602] ; [0.98259, 1.04259] ; [1.25334, 1.31334]
[-0.455321, -0.395321] ; [0.98262, 1.04262] ; [1.25401, 1.31401]
[-0.451886, -0.391886] ; [0.98252, 1.04252] ; [1.25456, 1.31456]
[-0.448651, -0.388651] ; [0.98259, 1.04259] ; [1.25528, 1.31528]
[-0.444953, -0.384953] ; [0.98228, 1.04228] ; [1.25567, 1.31567]
[-0.441692, -0.381692] ; [0.98226, 1.04226] ; [1.25634, 1.31634]
[-0.438118, -0.378118] ; [0.98195, 1.04195] ; [1.25669, 1.31669]
[-0.434796, -0.374796] ; [0.98204, 1.04204] ; [1.25747, 1.31747]
[-0.431152, -0.371152] ; [0.98173, 1.04173] ; [1.25783, 1.31783]
[-0.427858, -0.367858] ; [0.98165, 1.04165] ; [1.25843, 1.31843]
[-0.424704, -0.364704] ; [0.98161, 1.04161] ; [1.25907, 1.31907]
[-0.421106, -0.361106] ; [0.98126, 1.04126] ; [1.25943, 1.31943]
[-0.417452, -0.357452] ; [0.98091, 1.04091] ; [1.25973, 1.31973]
[-0.414255, -0.354255] ; [0.98093, 1.04093] ; [1.26036, 1.32036]
[-0.411048, -0.351048] ; [0.98093, 1.04093] ; [1.26097, 1.32097]
[-0.407563, -0.347563] ; [0.98068, 1.04068] ; [1.26136, 1.32136]
[-0.404148, -0.344148] ; [0.98035, 1.04035] ; [1.26174, 1.32174]
[-0.400696, -0.340696] ; [0.98007, 1.04007] ; [1.26215, 1.32215]
[-0.394061, -0.334061] ; [0.97983, 1.03983] ; [1.26309, 1.32309]
[-0.390526, -0.330526] ; [0.97946, 1.03946] ; [1.26337, 1.32337]
[-0.387332, -0.327332] ; [0.97921, 1.03921] ; [1.26387, 1.32387]
[-0.384141, -0.324141] ; [0.97925, 1.03925] ; [1.26447, 1.32447]
[-0.380634, -0.320634] ; [0.97891, 1.03891] ; [1.26472, 1.32472]
[-0.377377, -0.317377] ; [0.9787, 1.0387] ; [1.26522, 1.32522]
[-0.374199, -0.314199] ; [0.9786, 1.0386] ; [1.26569, 1.32569]
[-0.370934, -0.310934] ; [0.97842, 1.03842] ; [1.26615, 1.32615]
[-0.367656, -0.307656] ; [0.97813, 1.03813] ; [1.26653, 1.32653]
[-0.364454, -0.304454] ; [0.97788, 1.03788] ; [1.26692, 1.32692]
[-0.361284, -0.301284] ; [0.97775, 1.03775] ; [1.2674, 1.3274]
[-0.358004, -0.298004] ; [0.97741, 1.03741] ; [1.26778, 1.32778]
[-0.354747, -0.294747] ; [0.97701, 1.03701] ; [1.26797, 1.32797]
[-0.351641, -0.291641] ; [0.97698, 1.03698] ; [1.26851, 1.32851]
[-0.348394, -0.288394] ; [0.9767, 1.0367] ; [1.26892, 1.32892]
[-0.345074, -0.285074] ; [0.97633, 1.03633] ; [1.26929, 1.32929]
[-0.341953, -0.281953] ; [0.97623, 1.03623] ; [1.26972, 1.32972]
[-0.338658, -0.278658] ; [0.97585, 1.03585] ; [1.27004, 1.33004]
[-0.335485, -0.275485] ; [0.97573, 1.03573] ; [1.27052, 1.33052]
[-0.332295, -0.272295] ; [0.97538, 1.03538] ; [1.27076, 1.33076]
[-0.325897, -0.265897] ; [0.97482, 1.03482] ; [1.27137, 1.33137]
[-0.322687, -0.262687] ; [0.97455, 1.03455] ; [1.27175, 1.33175]
[-0.319479, -0.259479] ; [0.97435, 1.03435] ; [1.27213, 1.33213]
