[-1.00787, -0.609645] ; [0.865689, 1.16217] ; [1.13223, 1.36462]
[-1.00892, -0.603183] ; [0.863655, 1.16421] ; [1.13207, 1.36584]
[-1.00997, -0.59684] ; [0.861639, 1.16622] ; [1.13191, 1.36703]
[-1.01103, -0.5905] ; [0.859602, 1.16826] ; [1.13175, 1.36825]
[-1.01212, -0.584007] ; [0.857494, 1.17037] ; [1.13159, 1.36951]
[-1.01313, -0.578053] ; [0.855541, 1.17232] ; [1.13144, 1.37067]
[-1.01419, -0.571888] ; [0.853497, 1.17436] ; [1.13129, 1.37188]
[-1.01523, -0.565879] ; [0.851481, 1.17638] ; [1.13113, 1.37308]
[-1.01629, -0.559842] ; [0.849435, 1.17843] ; [1.13098, 1.37429]
[-1.01734, -0.553912] ; [0.8474, 1.18046] ; [1.13082, 1.3755]
[-1.0184, -0.548035] ; [0.845362, 1.1825] ; [1.13066, 1.37671]
[-1.01945, -0.542238] ; [0.843329, 1.18453] ; [1.13051, 1.37792]
[-1.0205, -0.536449] ; [0.841277, 1.18658] ; [1.13036, 1.37912]
[-1.02156, -0.530807] ; [0.839231, 1.18863] ; [1.13022, 1.38032]
[-1.02261, -0.525248] ; [0.837192, 1.19067] ; [1.13007, 1.38151]
[-1.02366, -0.519764] ; [0.835154, 1.19271] ; [1.12993, 1.38271]
[-1.02471, -0.514313] ; [0.833107, 1.19475] ; [1.12979, 1.3839]
[-1.02576, -0.508961] ; [0.831068, 1.19679] ; [1.12964, 1.3851]
[-1.02681, -0.503648] ; [0.829021, 1.19884] ; [1.1295, 1.38629]
[-1.02787, -0.498369] ; [0.826962, 1.2009] ; [1.12936, 1.38749]
[-1.02892, -0.493233] ; [0.824933, 1.20293] ; [1.12922, 1.38868]
[-1.02997, -0.488129] ; [0.82289, 1.20497] ; [1.12908, 1.38986]
[-1.03102, -0.483047] ; [0.820833, 1.20703] ; [1.12895, 1.39105]
[-1.03208, -0.47804] ; [0.818782, 1.20908] ; [1.12883, 1.39223]
[-1.03313, -0.473113] ; [0.816737, 1.21112] ; [1.1287, 1.3934]
[-1.03419, -0.468125] ; [0.814666, 1.21319] ; [1.12857, 1.39459]
[-1.03523, -0.463355] ; [0.812632, 1.21523] ; [1.12846, 1.39576]
[-1.03629, -0.458585] ; [0.810571, 1.21729] ; [1.12834, 1.39693]
[-1.03746, -0.453392] ; [0.808294, 1.21957] ; [1.1282, 1.39823]
[-1.03839, -0.449306] ; [0.806477, 1.22138] ; [1.1281, 1.39927]
[-1.03945, -0.444742] ; [0.804422, 1.22344] ; [1.12799, 1.40043]
[-1.0405, -0.440271] ; [0.802376, 1.22548] ; [1.12788, 1.40159]
[-1.04155, -0.435851] ; [0.800323, 1.22754] ; [1.12777, 1.40276]
[-1.04261, -0.431466] ; [0.79826, 1.2296] ; [1.12766, 1.40392]
[-1.04366, -0.427141] ; [0.796198, 1.23166] ; [1.12757, 1.40508]
[-1.04471, -0.423001] ; [0.794159, 1.2337] ; [1.12747, 1.40622]
[-1.04576, -0.418898] ; [0.79211, 1.23575] ; [1.12738, 1.40737]
[-1.04682, -0.414842] ; [0.790057, 1.2378] ; [1.12729, 1.4085]
[-1.04787, -0.410865] ; [0.788009, 1.23985] ; [1.12721, 1.40964]
[-1.04892, -0.406954] ; [0.785959, 1.2419] ; [1.12712, 1.41078]
[-1.04998, -0.403028] ; [0.783902, 1.24396] ; [1.12704, 1.41192]
[-1.05103, -0.394592] ; [0.781506, 1.24635] ; [1.12694, 1.41307]
[-1.05208, -0.386222] ; [0.779111, 1.24875] ; [1.12684, 1.41422]
[-1.05313, -0.377978] ; [0.776734, 1.25113] ; [1.12674, 1.41537]
[-1.05423, -0.369359] ; [0.774231, 1.25363] ; [1.12663, 1.41658]
[-1.05524, -0.361548] ; [0.771947, 1.25591] ; [1.12652, 1.4177]
[-1.05629, -0.353433] ; [0.769557, 1.2583] ; [1.1264, 1.41887]
[-1.05735, -0.345324] ; [0.767149, 1.26071] ; [1.12628, 1.42004]
[-1.05839, -0.337413] ; [0.764782, 1.26308] ; [1.12616, 1.42121]
[-1.05945, -0.329458] ; [0.762384, 1.26548] ; [1.12604, 1.42239]
[-1.0605, -0.321581] ; [0.759992, 1.26787] ; [1.12591, 1.42357]
[-1.06155, -0.313817] ; [0.757616, 1.27024] ; [1.12578, 1.42475]
[-1.0626, -0.306159] ; [0.75524, 1.27262] ; [1.12564, 1.42594]
[-1.06365, -0.298562] ; [0.752864, 1.275] ; [1.12549, 1.42714]
[-1.06471, -0.29098] ; [0.750475, 1.27738] ; [1.12534, 1.42835]
[-1.06576, -0.283483] ; [0.748093, 1.27977] ; [1.12518, 1.42956]
[-1.06682, -0.275984] ; [0.745693, 1.28217] ; [1.12502, 1.43078]
[-1.06787, -0.268659] ; [0.74333, 1.28453] ; [1.12486, 1.43199]
[-1.06892, -0.261346] ; [0.740951, 1.28691] ; [1.12469, 1.43321]
[-1.06997, -0.254108] ; [0.738578, 1.28928] ; [1.12452, 1.43443]
[-1.07103, -0.246897] ; [0.736196, 1.29166] ; [1.12435, 1.43566]
[-1.0721, -0.239667] ; [0.733787, 1.29407] ; [1.12416, 1.43691]
[-1.07313, -0.232732] ; [0.731457, 1.2964] ; [1.12398, 1.43813]
[-1.07421, -0.225552] ; [0.729025, 1.29884] ; [1.12379, 1.4394]
[-1.07525, -0.218691] ; [0.726682, 1.30118] ; [1.1236, 1.44063]
[-1.07629, -0.211897] ; [0.724342, 1.30352] ; [1.1234, 1.44186]
[-1.07735, -0.205008] ; [0.72195, 1.30591] ; [1.1232, 1.44313]
[-1.07839, -0.198334] ; [0.719612, 1.30825] ; [1.123, 1.44437]
[-1.07945, -0.191609] ; [0.717239, 1.31062] ; [1.12278, 1.44564]
[-1.0805, -0.184964] ; [0.714875, 1.31299] ; [1.12257, 1.44691]
[-1.08155, -0.178412] ; [0.712522, 1.31534] ; [1.12235, 1.44818]
[-1.0826, -0.171945] ; [0.710159, 1.3177] ; [1.12212, 1.44946]
[-1.08365, -0.165552] ; [0.7078, 1.32006] ; [1.12188, 1.45075]
[-1.08471, -0.159151] ; [0.705418, 1.32244] ; [1.12164, 1.45205]
[-1.08576, -0.15291] ; [0.703072, 1.32479] ; [1.1214, 1.45334]
[-1.08683, -0.1466] ; [0.700678, 1.32718] ; [1.12115, 1.45466]
[-1.08786, -0.140559] ; [0.698364, 1.3295] ; [1.1209, 1.45594]
[-0.645677, -0.438535] ; [0.913365, 1.11808] ; [1.16276, 1.36432]
[-0.646738, -0.432463] ; [0.910993, 1.12045] ; [1.1625, 1.36564]
[-0.647785, -0.426511] ; [0.908648, 1.12279] ; [1.16223, 1.36695]
[-0.64884, -0.420589] ; [0.906287, 1.12515] ; [1.16196, 1.36828]
[-0.649942, -0.414475] ; [0.903825, 1.12762] ; [1.16167, 1.36967]
[-0.650945, -0.408972] ; [0.901585, 1.12986] ; [1.16141, 1.37093]
[-0.651996, -0.403257] ; [0.899235, 1.1322] ; [1.16112, 1.37227]
[-0.653052, -0.39759] ; [0.896878, 1.13456] ; [1.16084, 1.37361]
[-0.654104, -0.392009] ; [0.894531, 1.13691] ; [1.16055, 1.37495]
[-0.655155, -0.386499] ; [0.892187, 1.13925] ; [1.16026, 1.3763]
[-0.656212, -0.381007] ; [0.889827, 1.14161] ; [1.15995, 1.37766]
[-0.657258, -0.375637] ; [0.887493, 1.14395] ; [1.15965, 1.37901]
[-0.658312, -0.370358] ; [0.885143, 1.1463] ; [1.15933, 1.38037]
[-0.659392, -0.365016] ; [0.882735, 1.14871] ; [1.15901, 1.38178]
[-0.660417, -0.360009] ; [0.88045, 1.15099] ; [1.15869, 1.38312]
[-0.661469, -0.354945] ; [0.878111, 1.15333] ; [1.15837, 1.38449]
[-0.662521, -0.349936] ; [0.875771, 1.15567] ; [1.15804, 1.38588]
[-0.663576, -0.344984] ; [0.873424, 1.15802] ; [1.1577, 1.38727]
[-0.664627, -0.340112] ; [0.871088, 1.16035] ; [1.15736, 1.38866]
[-0.665689, -0.335255] ; [0.868728, 1.16271] ; [1.15702, 1.39007]
[-0.666735, -0.330537] ; [0.866403, 1.16504] ; [1.15667, 1.39146]
[-0.667787, -0.325857] ; [0.864066, 1.16737] ; [1.15631, 1.39287]
[-0.668839, -0.321243] ; [0.861729, 1.16971] ; [1.15596, 1.39428]
[-0.669894, -0.316684] ; [0.859387, 1.17205] ; [1.15559, 1.3957]
[-0.670972, -0.312093] ; [0.856994, 1.17445] ; [1.15522, 1.39715]
[-0.672001, -0.307775] ; [0.85471, 1.17673] ; [1.15485, 1.39854]
[-0.673053, -0.303427] ; [0.852376, 1.17906] ; [1.15448, 1.39997]
[-0.674107, -0.299136] ; [0.850037, 1.1814] ; [1.1541, 1.40141]
[-0.675152, -0.294948] ; [0.84772, 1.18372] ; [1.15371, 1.40283]
[-0.676218, -0.290744] ; [0.845358, 1.18608] ; [1.15332, 1.40429]
[-0.677262, -0.286687] ; [0.843044, 1.1884] ; [1.15293, 1.40573]
[-0.678322, -0.282634] ; [0.840695, 1.19075] ; [1.15253, 1.40719]
[-0.679381, -0.278722] ; [0.83835, 1.19309] ; [1.15212, 1.40866]
[-0.680418, -0.274952] ; [0.836054, 1.19539] ; [1.15171, 1.4101]
[-0.681469, -0.271196] ; [0.833727, 1.19771] ; [1.15129, 1.41157]
[-0.682524, -0.267487] ; [0.831391, 1.20005] ; [1.15087, 1.41305]
[-0.683573, -0.263869] ; [0.829071, 1.20237] ; [1.15045, 1.41452]
[-0.684632, -0.260279] ; [0.826728, 1.20471] ; [1.15001, 1.41601]
[-0.685678, -0.2568] ; [0.824417, 1.20702] ; [1.14958, 1.41749]
[-0.686733, -0.253355] ; [0.822086, 1.20935] ; [1.14914, 1.41899]
[-0.687789, -0.249975] ; [0.819754, 1.21169] ; [1.1487, 1.42048]
[-0.688846, -0.246655] ; [0.817421, 1.21402] ; [1.14825, 1.42199]
[-0.689892, -0.243428] ; [0.815112, 1.21633] ; [1.1478, 1.42348]
[-0.690987, -0.240122] ; [0.812698, 1.21874] ; [1.14733, 1.42505]
[-0.692, -0.23713] ; [0.810467, 1.22097] ; [1.14689, 1.4265]
[-0.693056, -0.234071] ; [0.808142, 1.2233] ; [1.14643, 1.42802]
[-0.6941, -0.231108] ; [0.805843, 1.2256] ; [1.14597, 1.42953]
[-0.695156, -0.228177] ; [0.803519, 1.22792] ; [1.1455, 1.43105]
[-0.69621, -0.225316] ; [0.801202, 1.23024] ; [1.14503, 1.43258]
[-0.697258, -0.222471] ; [0.798899, 1.23254] ; [1.14456, 1.4341]
[-0.698314, -0.215144] ; [0.796236, 1.2352] ; [1.1439, 1.43581]
[-0.699366, -0.207911] ; [0.793587, 1.23785] ; [1.14324, 1.43752]
[-0.700418, -0.200739] ; [0.790939, 1.2405] ; [1.14258, 1.43923]
[-0.701469, -0.193634] ; [0.788294, 1.24315] ; [1.14192, 1.44095]
[-0.702522, -0.186582] ; [0.785646, 1.24579] ; [1.14125, 1.44267]
[-0.703577, -0.179578] ; [0.782994, 1.24845] ; [1.14058, 1.44439]
[-0.704628, -0.172661] ; [0.780354, 1.25109] ; [1.13991, 1.44612]
[-0.705678, -0.165813] ; [0.777717, 1.25372] ; [1.13923, 1.44784]
[-0.706738, -0.158962] ; [0.775058, 1.25638] ; [1.13854, 1.44959]
[-0.707814, -0.152069] ; [0.77236, 1.25908] ; [1.13785, 1.45136]
[-0.708838, -0.145568] ; [0.769793, 1.26165] ; [1.13718, 1.45306]
[-0.7099, -0.138888] ; [0.767134, 1.26431] ; [1.13648, 1.45482]
[-0.710986, -0.132121] ; [0.764418, 1.26702] ; [1.13577, 1.45662]
[-0.711996, -0.125884] ; [0.761893, 1.26955] ; [1.1351, 1.45829]
[-0.713051, -0.119431] ; [0.759256, 1.27218] ; [1.1344, 1.46005]
[-0.714112, -0.113004] ; [0.756608, 1.27483] ; [1.13369, 1.46182]
[-0.715157, -0.106734] ; [0.754, 1.27744] ; [1.13299, 1.46356]
[-0.716209, -0.100483] ; [0.751378, 1.28006] ; [1.13228, 1.46532]
[-0.717265, -0.0942692] ; [0.748747, 1.28269] ; [1.13157, 1.46709]
[-0.718317, -0.0881393] ; [0.746128, 1.28531] ; [1.13086, 1.46885]
[-0.719369, -0.0821304] ; [0.743514, 1.28793] ; [1.13014, 1.47062]
[-0.72042, -0.076188] ; [0.740904, 1.29054] ; [1.12942, 1.47239]
[-0.721476, -0.0702784] ; [0.738283, 1.29316] ; [1.1287, 1.47418]
[-0.722536, -0.064416] ; [0.735655, 1.29579] ; [1.12797, 1.47596]
[-0.723577, -0.0587095] ; [0.733075, 1.29837] ; [1.12725, 1.47773]
[-0.724633, -0.0529814] ; [0.73046, 1.30098] ; [1.12651, 1.47952]
[-0.725685, -0.0473359] ; [0.727856, 1.30358] ; [1.12578, 1.4813]
[-0.726733, -0.0417731] ; [0.725265, 1.30617] ; [1.12504, 1.48308]
[-0.727794, -0.036201] ; [0.722643, 1.3088] ; [1.1243, 1.48489]
[-0.728844, -0.0307469] ; [0.72005, 1.31139] ; [1.12356, 1.48668]
[-0.729891, -0.0253663] ; [0.717467, 1.31397] ; [1.12282, 1.48847]
[-0.730942, -0.0200265] ; [0.714875, 1.31656] ; [1.12208, 1.49026]
[-0.732001, -0.0147074] ; [0.712265, 1.31917] ; [1.12132, 1.49208]
[-0.733049, -0.00950697] ; [0.709686, 1.32175] ; [1.12057, 1.49387]
[-0.734103, -0.00433784] ; [0.707094, 1.32435] ; [1.11982, 1.49568]
[-0.735159, 0.000779508] ; [0.7045, 1.32694] ; [1.11906, 1.49749]
[-0.736218, 0.00584909] ; [0.7019, 1.32954] ; [1.1183, 1.49931]
[-0.737263, 0.0107902] ; [0.699336, 1.3321] ; [1.11755, 1.50111]
[-0.73831, 0.0156185] ; [0.696773, 1.33467] ; [1.11679, 1.50292]
[-0.739383, 0.0205666] ; [0.694147, 1.33729] ; [1.11601, 1.50477]
[-0.740425, 0.0252487] ; [0.691601, 1.33984] ; [1.11525, 1.50657]
[-0.741472, 0.0298897] ; [0.689044, 1.3424] ; [1.11449, 1.50838]
[-0.742532, 0.0345225] ; [0.686455, 1.34498] ; [1.11371, 1.51022]
[-0.74358, 0.0390413] ; [0.683899, 1.34754] ; [1.11294, 1.51204]
[-0.744636, 0.0435341] ; [0.681329, 1.35011] ; [1.11217, 1.51387]
[-0.745681, 0.0479171] ; [0.678789, 1.35265] ; [1.1114, 1.51568]
[-0.746731, 0.0522583] ; [0.676239, 1.3552] ; [1.11062, 1.5175]
[-0.747803, 0.0566264] ; [0.673638, 1.3578] ; [1.10983, 1.51937]
[-0.748838, 0.060778] ; [0.671125, 1.36031] ; [1.10907, 1.52117]
[-0.749896, 0.0649603] ; [0.668563, 1.36288] ; [1.10828, 1.52301]
[-0.29581, -0.0905231] ; [0.893229, 1.09846] ; [1.20906, 1.41174]
[-0.296829, -0.0866186] ; [0.890766, 1.10093] ; [1.2083, 1.41352]
[-0.297885, -0.0826349] ; [0.888216, 1.10348] ; [1.20751, 1.41536]
[-0.298937, -0.0787303] ; [0.885677, 1.10602] ; [1.20673, 1.4172]
[-0.299991, -0.0748833] ; [0.883137, 1.10856] ; [1.20594, 1.41904]
[-0.301049, -0.071086] ; [0.880591, 1.1111] ; [1.20515, 1.42089]
[-0.302094, -0.0673979] ; [0.878078, 1.11361] ; [1.20437, 1.42272]
[-0.303145, -0.0638133] ; [0.875558, 1.11613] ; [1.20358, 1.42456]
[-0.304195, -0.0603036] ; [0.873047, 1.11864] ; [1.20279, 1.42639]
[-0.305248, -0.0568384] ; [0.870531, 1.12116] ; [1.202, 1.42824]
